Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
57;57;0;8.05;6/22/1959;8/18/1959
58;58;0;8.200001;6/21/1959;8/18/1959
59;59;0;8.2;6/21/1959;8/19/1959
60;60;0;8.200001;6/21/1959;8/20/1959
water year = 1959-1960
1;1;2.1914893617021276595744680851;2.38;10/5/1959;10/6/1959
2;2;2.2105263157894736842105263158;2.73;10/4/1959;10/6/1959
3;3;3.0169491525423728813559322032;3.13;6/30/1960;7/3/1960
4;4;1.9714285714285714285714285714;3.13;6/30/1960;7/4/1960
5;5;5.0299371078220911244963326369;3.95;6/12/1960;6/17/1960
6;6;5.494181381817167016667480622;4.21;6/11/1960;6/17/1960
7;7;4.3181818181818181818181818182;4.21;6/11/1960;6/18/1960
8;8;3.5147044117647058823529411762;4.21;6/9/1960;6/17/1960
9;9;2.7571432040811370269471043612;4.21;6/8/1960;6/17/1960
10;10;4.5;4.8;6/12/1960;6/22/1960
11;11;4.922448979591836734693877551;5.06;6/11/1960;6/22/1960
12;12;4.488;5.11;6/11/1960;6/23/1960
13;13;4.2666666666666666666666666667;5.21;6/11/1960;6/24/1960
14;14;3.6692307692307692307692307692;5.21;6/10/1960;6/24/1960
15;15;3.0943396226415094339622641509;5.21;6/9/1960;6/24/1960
16;16;2.5407407407407407407407407407;5.21;6/8/1960;6/24/1960
17;17;2.9163672727272727272727272727;5.460001;6/16/1960;7/3/1960
18;18;3.4571428571428571428571428571;5.76;6/13/1960;7/1/1960
19;19;11.460564751703992210321324245;7.17;6/12/1960;7/1/1960
20;20;12.740384615384615384615384617;7.43;6/11/1960;7/1/1960
21;21;19.971438068036255272624069171;8.09;6/12/1960;7/3/1960
22;22;21.405660377358490566037735844;8.35;6/11/1960;7/3/1960
23;23;19.168224299065420560747663556;8.35;6/10/1960;7/3/1960
24;24;16.972228677989516656959867559;8.35;6/9/1960;7/3/1960
25;25;14.816527522935779816513761466;8.350001;6/10/1960;7/5/1960
26;26;12.700000000000000000000000001;8.35;6/11/1960;7/7/1960
27;27;10.621635135135135135135135135;8.350001;6/7/1960;7/4/1960
28;28;9.352078239608801955990220049;8.35;6/10/1960;7/8/1960
29;29;12.017699115044247787610619470;8.76;6/4/1960;7/3/1960
30;30;10;8.76;6/3/1960;7/3/1960
31;31;9.198736605449022348014413208;8.759999;6/2/1960;7/3/1960
32;32;9.930009856123918888182565742;9.02;6/1/1960;7/3/1960
33;33;9.145496535796766743648960739;9.02;6/1/1960;7/4/1960
34;34;8.376523152837768931226319532;9.02;5/31/1960;7/4/1960
35;35;9.377359665359121963920822791;9.330001;6/12/1960;7/17/1960
36;36;10.174418604651162790697674418;9.59;6/11/1960;7/17/1960
37;37;9.766844757101966766814779286;9.670001;6/11/1960;7/18/1960
38;38;9.021257292416986039248461788;9.67;6/10/1960;7/18/1960
39;39;8.289765795206971677559912854;9.670001;6/9/1960;7/18/1960
40;40;7.5719460949252481476605378853;9.670001;6/10/1960;7/20/1960
41;41;6.8674345207166637799973057753;9.670001;6/7/1960;7/18/1960
42;42;6.1758474576271186440677966102;9.67;6/9/1960;7/21/1960
43;43;7.2288294113571807957878207053;10;6/4/1960;7/17/1960
44;44;7.2226094156661472495511445554;10.13;5/20/1960;7/3/1960
45;45;7.6804123711340206185567010309;10.35;5/19/1960;7/3/1960
46;46;7.1244863432510907435730110612;10.36;5/18/1960;7/3/1960
47;47;6.5356364799232506545679851298;10.36;5/17/1960;7/3/1960
48;48;6.3090551181102362204724409449;10.43;5/16/1960;7/3/1960
49;49;5.8952915624333391510074272306;10.46;5/29/1960;7/17/1960
50;50;5.7324728182982057210555481245;10.54;5/29/1960;7/18/1960
51;51;6.1393596986817325800376647834;10.74;5/27/1960;7/17/1960
52;52;5.9777321922512855737278853472;10.82;5/27/1960;7/18/1960
53;53;5.5002928632877564841762304834;10.83;5/26/1960;7/18/1960
54;54;4.9954819277108433734939759034;10.83;5/26/1960;7/19/1960
55;55;5.2967489807182153221642601528;11.01;5/9/1960;7/3/1960
56;56;5.1112272320095550910719617796;11.08;5/8/1960;7/3/1960
57;57;4.8108504398826979472140762461;11.08;5/8/1960;7/4/1960
58;58;5.3962491661963158704910462312;11.37;5/20/1960;7/17/1960
59;59;5.8497374774196815964074080327;11.59;5/19/1960;7/17/1960
60;60;5.7083333333333333333333333333;11.67;5/19/1960;7/18/1960
water year = 1960-1961
1;1;0;1.82;4/24/1961;4/25/1961
2;2;0;2.16;4/24/1961;4/26/1961
3;3;0;2.16;4/24/1961;4/27/1961
4;4;0;2.45;4/24/1961;4/28/1961
5;5;0;2.66;4/21/1961;4/26/1961
6;6;0;2.66;4/21/1961;4/27/1961
7;7;0;2.95;4/21/1961;4/28/1961
8;8;0;2.95;4/20/1961;4/28/1961
9;9;0;2.95;4/21/1961;4/30/1961
10;10;2.2916666666666666666666666667;4.27;4/15/1961;4/25/1961
11;11;3.0857142857142857142857142857;4.61;4/15/1961;4/26/1961
12;12;2.488;4.61;4/14/1961;4/26/1961
13;13;3.0509803921568627450980392157;4.9;4/15/1961;4/28/1961
14;14;2.4769230769230769230769230769;4.9;4/15/1961;4/29/1961
15;15;1.9578947368421052631578947368;4.9;4/13/1961;4/28/1961
16;16;1.9710743801652892561983471074;5.05;4/12/1961;4/28/1961
17;17;1.6997971602434077079107505071;5.06;4/11/1961;4/28/1961
18;18;1.4183266932270916334661354582;5.06;4/11/1961;4/29/1961
19;19;1.362035225048923679060665362;5.17;4/12/1961;5/1/1961
20;20;1.1153846153846153846153846154;5.18;4/11/1961;5/1/1961
