Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
43;43;8.908326737807374252886111187;10.32;8/18/1975;9/30/1975
44;44;8.210819548668828939785756043;10.32;8/17/1975;9/30/1975
45;45;8.556701030927835051546391753;10.52;8/16/1975;9/30/1975
46;46;7.936391305715709447630607599;10.52;8/15/1975;9/30/1975
47;47;8.034647132892291087881997881;10.66;8/14/1975;9/30/1975
48;48;7.4409448818897637795275590551;10.66;8/13/1975;9/30/1975
49;49;6.864903911416215796924389629;10.66;8/12/1975;9/30/1975
50;50;6.3057248772285173790915865706;10.66;8/11/1975;9/30/1975
51;51;5.8097928436911487758945386064;10.67;8/10/1975;9/30/1975
52;52;5.4208049455139510275307702304;10.7;8/9/1975;9/30/1975
53;53;4.9528800466260335272791931323;10.7;8/8/1975;9/30/1975
54;54;5.2166064981949458483754512635;10.88;8/2/1975;9/25/1975
55;55;5.163218615913258675022700162;10.98;8/1/1975;9/25/1975
56;56;5.0234047037746122635378427274;11.06;8/1/1975;9/26/1975
57;57;4.766862170087976539589442815;11.06;7/31/1975;9/26/1975
58;58;4.526168680722909078224064605;11.06;7/31/1975;9/27/1975
59;59;4.873191642651296829971181556;11.33;8/2/1975;9/30/1975
60;60;4.8499999999999999999999999998;11.43;8/1/1975;9/30/1975
water year = 1975-1976
1;1;0;1.7;5/5/1976;5/6/1976
2;2;1.15625;2.42;5/5/1976;5/7/1976
3;3;0;2.42;5/5/1976;5/8/1976
4;4;0;2.42;5/3/1976;5/7/1976
5;5;0;2.75;2/29/1976;3/5/1976
6;6;0;2.78;2/28/1976;3/5/1976
7;7;0;2.78;2/28/1976;3/6/1976
8;8;0;2.78;2/27/1976;3/6/1976
9;9;0;2.84;2/25/1976;3/5/1976
10;10;0;2.84;2/25/1976;3/6/1976
11;11;0;3.15;2/20/1976;3/2/1976
12;12;0;3.38;2/20/1976;3/3/1976
13;13;0;3.92;4/24/1976;5/7/1976
14;14;1;4.31;4/23/1976;5/7/1976
15;15;1.0105263157894736842105263158;4.45;4/22/1976;5/7/1976
16;16;1.0000020661157024793388429752;4.580001;4/21/1976;5/7/1976
17;17;0;4.690001;4/20/1976;5/7/1976
18;18;1.3386454183266932270916334661;5.02;2/16/1976;3/5/1976
19;19;1.6555772994129158512720156556;5.32;2/15/1976;3/5/1976
20;20;1.4230769230769230769230769231;5.34;2/14/1976;3/5/1976
21;21;1.1943396226415094339622641509;5.34;2/13/1976;3/5/1976
22;22;1.1592592592592592592592592593;5.44;4/15/1976;5/7/1976
23;23;0;5.440001;4/15/1976;5/8/1976
24;24;0;5.440001;4/14/1976;5/8/1976
25;25;0;5.44;4/15/1976;5/10/1976
26;26;0;5.5;2/15/1976;3/12/1976
27;27;0;5.64;2/15/1976;3/13/1976
28;28;0;5.66;2/14/1976;3/13/1976
29;29;0;5.66;2/14/1976;3/14/1976
30;30;0;5.7;2/15/1976;3/16/1976
31;31;0;5.73;2/15/1976;3/17/1976
32;32;0;6.21;4/15/1976;5/17/1976
33;33;0;6.210001;4/14/1976;5/17/1976
34;34;0;6.210001;4/15/1976;5/19/1976
35;35;0;6.210001;4/13/1976;5/18/1976
36;36;0;6.210001;4/15/1976;5/21/1976
37;37;0;6.27;4/10/1976;5/17/1976
38;38;0;6.27;4/9/1976;5/17/1976
39;39;0;6.28;4/15/1976;5/24/1976
40;40;0;6.28;4/14/1976;5/24/1976
41;41;0;6.41;2/15/1976;3/27/1976
42;42;0;6.43;2/14/1976;3/27/1976
43;43;0;6.43;2/13/1976;3/27/1976
44;44;0;6.45;3/24/1976;5/7/1976
45;45;0;6.47;2/14/1976;3/30/1976
46;46;0;6.670001;4/15/1976;5/31/1976
47;47;0;6.67;4/15/1976;6/1/1976
48;48;0;6.670001;4/14/1976;6/1/1976
49;49;0;6.67;4/14/1976;6/2/1976
50;50;0;6.670001;4/15/1976;6/4/1976
51;51;0;6.73;4/10/1976;5/31/1976
52;52;0;7.09;3/26/1976;5/17/1976
53;53;0;7.09;3/25/1976;5/17/1976
54;54;0;7.220001;3/24/1976;5/17/1976
55;55;0;7.22;3/24/1976;5/18/1976
56;56;0;7.22;3/22/1976;5/17/1976
57;57;0;7.22;3/24/1976;5/20/1976
58;58;0;7.23;3/20/1976;5/17/1976
59;59;0;7.290001;1/6/1976;3/5/1976
60;60;0;7.290001;1/6/1976;3/6/1976
water year = 1976-1977
1;1;0;1.87;7/18/1977;7/19/1977
2;2;0;2.21;7/17/1977;7/19/1977
3;3;0;2.21;7/16/1977;7/19/1977
4;4;0;2.6;4/21/1977;4/25/1977
5;5;0;2.67;4/21/1977;4/26/1977
6;6;0;2.69;4/19/1977;4/25/1977
7;7;0;2.85;7/18/1977;7/25/1977
8;8;0;3.21;7/11/1977;7/19/1977
9;9;0;3.21;7/10/1977;7/19/1977
10;10;0;3.33;7/15/1977;7/25/1977
11;11;0;3.53;7/8/1977;7/19/1977
12;12;0;3.53;7/7/1977;7/19/1977
13;13;0;3.54;7/6/1977;7/19/1977
14;14;0;4.19;7/11/1977;7/25/1977
15;15;0;4.19;7/10/1977;7/25/1977
16;16;0;4.19;7/10/1977;7/26/1977
17;17;0;4.51;7/8/1977;7/25/1977
18;18;0;4.51;7/7/1977;7/25/1977
19;19;0;4.52;7/6/1977;7/25/1977
20;20;0;4.52;7/6/1977;7/26/1977
21;21;0;4.89;6/28/1977;7/19/1977
22;22;0;4.89;6/27/1977;7/19/1977
23;23;0;4.89;6/28/1977;7/21/1977
24;24;0;4.89;6/28/1977;7/22/1977
25;25;0;4.91;6/24/1977;7/19/1977
26;26;0;5.43;6/29/1977;7/25/1977
27;27;0;5.87;6/28/1977;7/25/1977
28;28;0;5.87;6/27/1977;7/25/1977
29;29;0;5.87;6/27/1977;7/26/1977
30;30;0;5.889999;3/27/1977;4/26/1977
31;31;0;5.89;6/24/1977;7/25/1977
32;32;0;5.93;7/11/1977;8/12/1977
33;33;0;5.97;7/8/1977;8/10/1977
34;34;0;6.01;7/8/1977;8/11/1977
35;35;0;6.25;7/8/1977;8/12/1977
36;36;0;6.25;7/8/1977;8/13/1977
37;37;0;6.26;7/6/1977;8/12/1977
38;38;0;6.47;3/27/1977;5/4/1977
39;39;0;6.85;3/17/1977;4/25/1977
40;40;0;6.92;3/17/1977;4/26/1977
41;41;0;6.92;3/16/1977;4/26/1977
42;42;0;6.93;3/17/1977;4/28/1977
43;43;0;7.33;6/28/1977;8/10/1977
44;44;0;7.39;7/11/1977;8/24/1977
45;45;0;7.75;6/4/1977;7/19/1977
46;46;0;7.75;6/3/1977;7/19/1977
47;47;0;7.75;6/4/1977;7/21/1977
48;48;0;7.75;6/4/1977;7/22/1977
49;49;0;7.85;5/31/1977;7/19/1977
50;50;0;7.900001;5/30/1977;7/19/1977
51;51;1.4237288135593220338983050847;8.73;6/4/1977;7/25/1977
52;52;1.3112531170203978533111944578;8.73;6/3/1977;7/25/1977
53;53;1.2012648756671260187434589685;8.730001;6/4/1977;7/27/1977
54;54;1.0936768149882903981264637002;8.73;6/3/1977;7/27/1977
55;55;1.1042483027985725091013548654;8.830001;5/31/1977;7/25/1977
56;56;1.0572967695581476095692858788;8.880001;5/30/1977;7/25/1977
57;57;1.1700680272108843537414965986;9.07;6/28/1977;8/24/1977
58;58;1.067315880112415646193630902;9.07;6/27/1977;8/24/1977
59;59;0;9.07;6/26/1977;8/24/1977
60;60;0;9.07;6/27/1977;8/26/1977
water year = 1977-1978
1;1;0;1.82;6/20/1978;6/21/1978
2;2;0;1.85;1/24/1978;1/26/1978
3;3;0;1.96;1/23/1978;1/26/1978
4;4;0;2.07;1/23/1978;1/27/1978
5;5;0;2.12;1/23/1978;1/28/1978
6;6;0;2.88;6/20/1978;6/26/1978
7;7;0;2.88;6/19/1978;6/26/1978
8;8;0;2.88;6/18/1978;6/26/1978
9;9;0;2.88;6/19/1978;6/28/1978
10;10;0;2.88;6/18/1978;6/28/1978
11;11;0;3.15;6/20/1978;7/1/1978
12;12;0;3.5;6/20/1978;7/2/1978
13;13;0;3.53;6/20/1978;7/3/1978
14;14;0;3.53;6/20/1978;7/4/1978
15;15;0;3.7;6/11/1978;6/26/1978
16;16;0;3.7;6/11/1978;6/27/1978
17;17;0;3.7;6/11/1978;6/28/1978
18;18;0;3.73;6/15/1978;7/3/1978
19;19;0;3.79;6/7/1978;6/26/1978
20;20;0;4.15;6/6/1978;6/26/1978
21;21;0;4.32;6/11/1978;7/2/1978
22;22;0;4.35;6/11/1978;7/3/1978
23;23;0;4.35;6/11/1978;7/4/1978
24;24;0;4.35;6/10/1978;7/4/1978
25;25;0;4.42;6/6/1978;7/1/1978
26;26;0;4.77;6/6/1978;7/2/1978
27;27;0;4.8;6/6/1978;7/3/1978
28;28;0;4.92;6/4/1978;7/2/1978
29;29;0;4.95;6/4/1978;7/3/1978
30;30;0;4.95;6/3/1978;7/3/1978
31;31;0;5.02;6/1/1978;7/2/1978
32;32;0;5.05;6/1/1978;7/3/1978
33;33;0;5.050001;6/1/1978;7/4/1978
34;34;0;5.11;5/29/1978;7/2/1978
35;35;0;5.14;5/29/1978;7/3/1978
36;36;0;5.14;5/28/1978;7/3/1978
37;37;0;5.14;5/29/1978;7/5/1978
38;38;0;5.14;5/29/1978;7/6/1978
39;39;0;5.15;6/4/1978;7/13/1978
40;40;0;5.47;5/12/1978;6/21/1978
41;41;0;5.77;5/11/1978;6/21/1978
42;42;0;5.78;5/10/1978;6/21/1978
43;43;0;5.78;5/10/1978;6/22/1978
44;44;0;5.8;5/8/1978;6/21/1978
45;45;0;6.530001;5/12/1978;6/26/1978
46;46;0;6.830001;5/11/1978;6/26/1978
47;47;0;6.840001;5/10/1978;6/26/1978
48;48;0;6.840001;5/9/1978;6/26/1978
49;49;0;6.860002;5/8/1978;6/26/1978
50;50;0;7.250001;5/7/1978;6/26/1978
51;51;0;7.250001;5/6/1978;6/26/1978
52;52;0;7.450001;5/11/1978;7/2/1978
53;53;0;7.57;5/4/1978;6/26/1978
54;54;0;7.570001;5/4/1978;6/27/1978
55;55;0;7.570001;5/3/1978;6/27/1978
56;56;0;7.870001;5/7/1978;7/2/1978
57;57;0;7.9;5/7/1978;7/3/1978
58;58;0;7.920001;5/5/1978;7/2/1978
59;59;0;8.190001;5/4/1978;7/2/1978
60;60;0;8.220001;5/4/1978;7/3/1978
water year = 1978-1979
1;1;0;1.76;6/29/1979;6/30/1979
2;2;1.75;2.61;6/28/1979;6/30/1979
3;3;2.0508474576271186440677966102;2.94;6/27/1979;6/30/1979
4;4;2.25;3.19;6/27/1979;7/1/1979
5;5;1.6788987543142122675004266047;3.21;6/27/1979;7/2/1979
6;6;1.1946897251145577248809289928;3.21;6/26/1979;7/2/1979
7;7;1.3076923076923076923076923077;3.43;6/27/1979;7/4/1979
8;8;0;3.43;6/26/1979;7/4/1979
9;9;0;3.43;6/25/1979;7/4/1979
10;10;0;3.43;6/24/1979;7/4/1979
11;11;0;3.61;6/28/1979;7/9/1979
12;12;0;3.94;6/27/1979;7/9/1979
13;13;0;3.94;6/26/1979;7/9/1979
14;14;1.4077253218884120171673819742;4.5;6/28/1979;7/12/1979
15;15;1.8105263157894736842105263158;4.83;6/27/1979;7/12/1979
16;16;1.5165289256198347107438016529;4.83;6/27/1979;7/13/1979
17;17;1.2332657200811359026369168357;4.83;6/27/1979;7/14/1979
18;18;1.5577689243027888446215139442;5.13;6/27/1979;7/15/1979
19;19;1.2837573385518590998043052838;5.13;6/26/1979;7/15/1979
20;20;1.0192307692307692307692307692;5.13;6/25/1979;7/15/1979
21;21;0;5.13;6/24/1979;7/15/1979
22;22;0;5.13;6/26/1979;7/18/1979
23;23;0;5.13;6/27/1979;7/20/1979
24;24;0;5.13;6/27/1979;7/21/1979
25;25;0;5.15;6/20/1979;7/15/1979
26;26;0;5.23;6/19/1979;7/15/1979
27;27;0;5.23;6/18/1979;7/15/1979
28;28;0;5.28;6/27/1979;7/25/1979
29;29;0;5.370001;3/28/1979;4/26/1979
30;30;0;5.41;4/3/1979;5/3/1979
31;31;0;5.74;3/28/1979;4/28/1979
32;32;0;5.78;3/27/1979;4/28/1979
33;33;0;5.9;3/28/1979;4/30/1979
34;34;0;5.94;3/27/1979;4/30/1979
35;35;0;6.07;3/29/1979;5/3/1979
36;36;0;6.52;3/28/1979;5/3/1979
37;37;0;6.56;3/27/1979;5/3/1979
38;38;0;6.56;3/26/1979;5/3/1979
39;39;0;6.67;3/25/1979;5/3/1979
40;40;0;6.72;3/24/1979;5/3/1979
41;41;0;6.789999;3/23/1979;5/3/1979
42;42;0;6.89;3/22/1979;5/3/1979
43;43;0;6.889999;3/21/1979;5/3/1979
44;44;0;6.889999;3/20/1979;5/3/1979
45;45;0;6.9;3/19/1979;5/3/1979
46;46;0;6.929999;3/27/1979;5/12/1979
47;47;0;7.26;3/17/1979;5/3/1979
48;48;0;7.26;3/17/1979;5/4/1979
49;49;0;7.26;3/16/1979;5/4/1979
50;50;0;7.27;3/14/1979;5/3/1979
51;51;0;7.440001;3/13/1979;5/3/1979
52;52;0;7.72;6/27/1979;8/18/1979
53;53;0;7.719999;6/27/1979;8/19/1979
54;54;0;8.050001;6/27/1979;8/20/1979
55;55;0;8.1;6/27/1979;8/21/1979
56;56;0;8.42;6/28/1979;8/23/1979
57;57;0;8.75;6/27/1979;8/23/1979
58;58;0;8.76;6/27/1979;8/24/1979
59;59;0;8.76;6/26/1979;8/24/1979
60;60;0;8.76;6/25/1979;8/24/1979
water year = 1979-1980
1;1;0;1.7;8/1/1980;8/2/1980
2;2;0;2.13;8/1/1980;8/3/1980
3;3;0;2.13;7/31/1980;8/3/1980
4;4;0;2.29;5/30/1980;6/3/1980
5;5;0;2.65;7/28/1980;8/2/1980
6;6;1.4867256402223720749948229997;3.32;7/27/1980;8/2/1980
7;7;2.2272727272727272727272727273;3.75;7/27/1980;8/3/1980
8;8;1.809916843112656012138822911;3.79;7/26/1980;8/3/1980
9;9;1.4159998655997849596559354495;3.79;7/26/1980;8/4/1980
10;10;1.255813953488372093023255814;3.88;7/27/1980;8/6/1980
11;11;1.0341685649202733485193621868;3.92;7/26/1980;8/6/1980
12;12;0;3.92;7/25/1980;8/6/1980
13;13;0;3.96;7/21/1980;8/3/1980
14;14;0;4.19;7/27/1980;8/10/1980
15;15;0;4.29;7/27/1980;8/11/1980
16;16;0;4.5;5/30/1980;6/15/1980
17;17;0;4.62;5/29/1980;6/15/1980
18;18;0;4.84;7/27/1980;8/14/1980
19;19;1.1663405088062622309197651663;5.07;7/15/1980;8/3/1980
20;20;1.5576923076923076923076923077;5.41;8/1/1980;8/21/1980
21;21;1.3264150943396226415094339623;5.41;7/31/1980;8/21/1980
22;22;1.1407407407407407407407407407;5.43;7/30/1980;8/21/1980
23;23;1.5618181818181818181818181818;5.78;7/28/1980;8/20/1980
24;24;2.9784017278617710583153347731;6.45;7/27/1980;8/20/1980
25;25;4.4095744680851063829787234045;7.03;7/27/1980;8/21/1980
26;26;4.100628930817610062893081761;7.07;7/26/1980;8/21/1980
27;27;3.6766528925619834710743801651;7.07;7/26/1980;8/22/1980
28;28;3.2647657841140529531568228107;7.07;7/24/1980;8/21/1980
29;29;2.8644578313253012048192771084;7.07;7/24/1980;8/22/1980
30;30;2.4752475247524752475247524752;7.07;7/23/1980;8/22/1980
31;31;2.6347659816738460216347444973;7.24;7/21/1980;8/21/1980
32;32;2.992294797687861271676300578;7.48;8/1/1980;9/2/1980
33;33;2.6558935361216730038022813688;7.48;7/31/1980;9/2/1980
34;34;2.3846159618987224214611430946;7.5;8/1/1980;9/4/1980
35;35;3.7314833333333333333333333333;8.1;7/28/1980;9/1/1980
36;36;5.4820627802690582959641255605;8.77;7/27/1980;9/1/1980
37;37;6.6025141395367428103203629314;9.1;7/27/1980;9/2/1980
38;38;6.1070397598244871252068819522;9.14;7/26/1980;9/2/1980
39;39;5.4030501089324618736383442266;9.14;7/26/1980;9/3/1980
40;40;4.9130418147462480467408289208;9.16;7/26/1980;9/4/1980
41;41;4.5859120153883293714169857532;9.16;7/26/1980;9/5/1980
42;42;4.2665534804753820033955857383;9.16;7/25/1980;9/5/1980
43;43;4.3322111306953601548991989099;9.309999;7/21/1980;9/2/1980
44;44;4.9684925373134328358208955224;9.69;7/27/1980;9/9/1980
45;45;4.7540983606557377049180327867;9.73;7/26/1980;9/9/1980
46;46;4.4853904220779220779220779219;9.73;7/26/1980;9/10/1980
47;47;4.2459750933276741875428053286;9.74;7/27/1980;9/12/1980
48;48;5.6692913385826771653543307087;10.3;7/27/1980;9/13/1980
49;49;5.7013690926367638218240347509;10.42;7/15/1980;9/2/1980
50;50;5.589159803565627806546538513;10.51;7/14/1980;9/2/1980
51;51;5.0564971751412429378531073446;10.51;7/13/1980;9/2/1980
52;52;7.3236397051998440603709135463;11.11;7/27/1980;9/17/1980
53;53;6.9646093020701773653286475207;11.15;7/26/1980;9/17/1980
54;54;6.4350180505415162454873646209;11.15;7/25/1980;9/17/1980
55;55;5.9198906831413463421582067762;11.15;7/24/1980;9/17/1980
56;56;5.4186060808318549874413784624;11.15;7/24/1980;9/18/1980
57;57;5.7538994800693240901213171577;11.34;7/28/1980;9/23/1980
58;58;8.132835616672652949527083654;12.01;7/27/1980;9/23/1980
59;59;7.7912227981024091300457515236;12.05;7/26/1980;9/23/1980
60;60;7.3333333333333333333333333333;12.06;7/27/1980;9/25/1980
water year = 1980-1981
1;1;0;1.77;9/3/1981;9/4/1981
2;2;2.5789473684210526315789473684;2.8;9/2/1981;9/4/1981
3;3;1.8823529411764705882352941176;2.89;9/2/1981;9/5/1981
4;4;1.2857142857142857142857142857;2.89;9/1/1981;9/5/1981
5;5;0;2.89;9/1/1981;9/6/1981
6;6;8.023257030830304256521526794;4.5;8/29/1981;9/4/1981
7;7;8.983050847457627118644067797;4.83;8/28/1981;9/4/1981
8;8;8.861108333333333333333333333;5.01;8/27/1981;9/4/1981
9;9;8.005455746648764997975406517;5.099999;8/27/1981;9/5/1981
10;10;6.9354838709677419354838709677;5.16;8/26/1981;9/5/1981
11;11;5.6418383518225039619651347068;5.16;8/26/1981;9/6/1981
12;12;4.688;5.16;8/26/1981;9/7/1981
13;13;4.3058823529411764705882352941;5.22;8/26/1981;9/8/1981
14;14;3.7076923076923076923076923077;5.22;8/25/1981;9/8/1981
15;15;3.1320754716981132075471698113;5.22;8/26/1981;9/10/1981
16;16;2.5777777777777777777777777778;5.22;8/23/1981;9/8/1981
17;17;2.0436363636363636363636363636;5.22;8/26/1981;9/12/1981
18;18;1.9760956175298804780876494024;5.34;8/27/1981;9/14/1981
19;19;2.1894736842105263157894736842;5.55;8/29/1981;9/17/1981
20;20;2.8275862068965517241379310345;5.88;8/28/1981;9/17/1981
21;21;2.9943404977375565610859728506;6.059999;8/27/1981;9/17/1981
22;22;2.8218229398663697104677060135;6.139999;8/27/1981;9/18/1981
23;23;2.5888157894736842105263157895;6.2;8/26/1981;9/18/1981
24;24;3.140388768898488120950323974;6.5;8/29/1981;9/22/1981
25;25;3.771273404255319148936170213;6.829999;8/28/1981;9/22/1981
26;26;3.9119465408805031446540880503;7.009999;8/27/1981;9/22/1981
27;27;3.6766528925619834710743801651;7.07;8/26/1981;9/22/1981
28;28;3.2647627291242362525458248474;7.069999;8/26/1981;9/23/1981
29;29;2.8644578313253012048192771084;7.07;8/25/1981;9/23/1981
30;30;3.0693069306930693069306930692;7.27;8/28/1981;9/27/1981
31;31;3.2499997558596134183462711461;7.45;8/27/1981;9/27/1981
32;32;3.7437398843930635838150289017;7.74;8/29/1981;9/30/1981
33;33;4.3384030418250950570342205321;8.07;8/28/1981;9/30/1981
34;34;4.4953081657521897259008199802;8.25;8/27/1981;9/30/1981
35;35;4.3148166666666666666666666667;8.31;8/26/1981;9/30/1981
36;36;3.9744058500914076782449725775;8.31;8/25/1981;9/30/1981
37;37;3.6425986980156155093722839599;8.31;8/24/1981;9/30/1981
38;38;3.3190706943589076282599182351;8.309999;8/23/1981;9/30/1981
39;39;3.0035211267605633802816901408;8.31;8/22/1981;9/30/1981
40;40;2.695649829869713156771168025;8.309999;8/21/1981;9/30/1981
41;41;2.7044696773794479204879041992;8.430001;7/25/1981;9/4/1981
42;42;2.636672325976230899830220713;8.52;7/25/1981;9/5/1981
43;43;2.3439602819125151740644512882;8.52;7/25/1981;9/6/1981
44;44;2.0580447761194029850746268657;8.52;7/24/1981;9/6/1981
45;45;1.961038961038961038961038961;8.58;7/25/1981;9/8/1981
46;46;1.8982026938420418486064365297;8.629999;7/20/1981;9/4/1981
47;47;3.064306867180491381056652551;9.25;7/19/1981;9/4/1981
48;48;3.1273885350318471337579617833;9.38;7/18/1981;9/4/1981
49;49;3.0946406024619932066085329854;9.47;7/18/1981;9/5/1981
50;50;2.8515573791623925881423715413;9.469999;7/18/1981;9/6/1981
51;51;2.6130030959752321981424148606;9.47;7/17/1981;9/6/1981
52;52;2.5168731216406172713587531259;9.53;7/18/1981;9/8/1981
53;53;2.2857128745147237506297478045;9.53;7/17/1981;9/8/1981
54;54;2.058734939759036144578313253;9.53;7/16/1981;9/8/1981
55;55;1.9498073165279214393519070857;9.56;7/25/1981;9/18/1981
56;56;1.8365149593143776492063983169;9.559999;7/15/1981;9/9/1981
57;57;2.3914956011730205278592375366;9.98;7/27/1981;9/22/1981
58;58;2.1715106729961424306466007169;9.98;7/27/1981;9/23/1981
59;59;2.927946685878962536023054755;10.43;7/25/1981;9/22/1981
60;60;2.7071428571428571428571428571;10.43;7/24/1981;9/22/1981
water year = 1981-1982
1;1;6.0227272727272727272727272727;2.91;6/28/1982;6/29/1982
2;2;7;3.46;6/27/1982;6/29/1982
3;3;4.7966101694915254237288135588;3.48;6/27/1982;6/30/1982
4;4;3.7;3.48;6/27/1982;7/1/1982
5;5;4.4354822580645161290322580641;3.83;6/28/1982;7/3/1982
6;6;6.9767429691696957434784732058;4.38;6/27/1982;7/3/1982
7;7;5.2542372881355932203389830508;4.39;6/27/1982;7/4/1982
8;8;4.308822058823529411764705882;4.39;6/26/1982;7/4/1982
9;9;3.5714320408113702694710436126;4.400001;6/25/1982;7/4/1982
10;10;2.8333333333333333333333333333;4.4;6/24/1982;7/4/1982
11;11;3.0857142857142857142857142857;4.61;6/18/1982;6/29/1982
12;12;2.568;4.63;6/18/1982;6/30/1982
13;13;2.6196078431372549019607843137;4.79;6/28/1982;7/11/1982
14;14;4.1692307692307692307692307692;5.34;6/27/1982;7/11/1982
15;15;4.301886792452830188679245283;5.53;6/18/1982;7/3/1982
16;16;3.762962962962962962962962963;5.54;6/18/1982;7/4/1982
17;17;3.2072727272727272727272727273;5.54;6/17/1982;7/4/1982
18;18;4.8857142857142857142857142857;6.16;6/15/1982;7/3/1982
19;19;4.8210526315789473684210526316;6.3;6/14/1982;7/3/1982
20;20;4.3103448275862068965517241379;6.31;6/14/1982;7/4/1982
21;21;3.8427601809954751131221719455;6.31;6/13/1982;7/4/1982
22;22;3.3897550111358574610244988866;6.31;6/14/1982;7/6/1982
23;23;3.5427631578947368421052631579;6.49;6/18/1982;7/11/1982
24;24;3.1079913606911447084233261338;6.49;6/18/1982;7/12/1982
25;25;2.6861734042553191489361702128;6.490001;6/17/1982;7/12/1982
26;26;4.2578616352201257861635220126;7.12;6/15/1982;7/11/1982
27;27;4.2654958677685950413223140494;7.26;6/14/1982;7/11/1982
28;28;3.845213849287169042769857434;7.26;6/13/1982;7/11/1982
29;29;4.9728915662650602409638554217;7.77;6/27/1982;7/26/1982
30;30;6.428577380952380952380952381;8.160001;6/28/1982;7/28/1982
31;31;8.904162532727834036004741559;8.71;6/27/1982;7/28/1982
32;32;8.122087632022488292207830078;8.710001;6/26/1982;7/28/1982
33;33;7.4133949191685912240184757506;8.72;6/25/1982;7/28/1982
34;34;6.6615885377961416129128147201;8.720001;6/25/1982;7/29/1982
35;35;5.9245303310748470285905120934;8.72;6/24/1982;7/29/1982
36;36;5.7062780269058295964125560538;8.81;6/27/1982;8/2/1982
37;37;4.9963880899024459364206349992;8.81;6/26/1982;8/2/1982
38;38;5.5022076572440299779509201779;9.030001;6/20/1982;7/28/1982
39;39;5.947717864923747276688453159;9.240001;6/19/1982;7/28/1982
40;40;8.597126688580351496655752990;9.860001;6/18/1982;7/28/1982
41;41;7.8831144810303057517421584161;9.860001;6/18/1982;7/29/1982
42;42;7.1822086864406779661016949153;9.860001;6/18/1982;7/30/1982
43;43;9.800559692484039526969578005;10.49;6/15/1982;7/28/1982
44;44;9.823162397252151697536964260;10.63;6/14/1982;7/28/1982
45;45;9.123711340206185567010309278;10.63;6/13/1982;7/28/1982
46;46;8.494575967410134806670205219;10.63;6/12/1982;7/28/1982
47;47;7.8847460675953870445505966062;10.63;6/14/1982;7/31/1982
48;48;7.2933070866141732283464566929;10.63;6/11/1982;7/29/1982
49;49;7.2042682335602226229953264685;10.73;6/14/1982;8/2/1982
50;50;6.6401219116045325129459423308;10.73;6/13/1982;8/2/1982
51;51;6.1864406779661016949152542373;10.75;6/14/1982;8/4/1982
52;52;5.6528579649878404217795681957;10.75;6/14/1982;8/5/1982
53;53;5.1342137535921512638881262241;10.75;6/12/1982;8/4/1982
54;54;4.9954819277108433734939759034;10.83;6/15/1982;8/8/1982
55;55;5.1187084943116064593088468318;10.97;6/14/1982;8/8/1982
56;56;4.812123197951483835464862134;10.97;6/13/1982;8/8/1982
57;57;4.5689149560117302052785923752;10.97;6/12/1982;8/8/1982
58;58;4.4389591248811769801656400166;11.02;5/31/1982;7/28/1982
59;59;4.2031628242074927953890489912;11.02;5/30/1982;7/28/1982
60;60;3.9928571428571428571428571427;11.03;5/27/1982;7/26/1982
water year = 1982-1983
1;1;0;1.98;5/1/1983;5/2/1983
2;2;0;2.22;4/30/1983;5/2/1983
3;3;2.3559322033898305084745762711;3;4/29/1983;5/2/1983
4;4;1.9428571428571428571428571429;3.12;4/29/1983;5/3/1983
5;5;2.4999983870967741935483870967;3.43;4/27/1983;5/2/1983
6;6;2.1718762939432907136082599871;3.55;4/27/1983;5/3/1983
7;7;1.641025641025641025641025641;3.56;4/27/1983;5/4/1983
8;8;1.2396698517853689498033887547;3.56;4/27/1983;5/5/1983
9;9;1.0799993279989247982796772475;3.65;4/29/1983;5/8/1983
10;10;0;3.65;4/28/1983;5/8/1983
11;11;1.3986332574031890660592255125;4.08;4/27/1983;5/8/1983
12;12;1.0892857142857142857142857143;4.08;4/27/1983;5/9/1983
13;13;1.0109409190371991247264770241;4.18;10/30/1982;11/12/1982
14;14;0;4.21;10/30/1982;11/13/1982
15;15;0;4.26;10/28/1982;11/12/1982
16;16;0;4.29;10/28/1982;11/13/1982
17;17;0;4.31;4/1/1983;4/18/1983
18;18;0;4.31;4/1/1983;4/19/1983
19;19;2.1192982456140350877192982456;5.53;4/13/1983;5/2/1983
20;20;3.1379310344827586206896551724;5.97;4/12/1983;5/2/1983
21;21;3.096153846153846153846153846;6.09;4/12/1983;5/3/1983
22;22;2.6881959910913140311804008909;6.1;4/12/1983;5/4/1983
23;23;2.4901348684210526315789473684;6.170001;4/9/1983;5/2/1983
24;24;3.140388768898488120950323974;6.5;4/8/1983;5/2/1983
25;25;3.1010638297872340425531914895;6.62;4/8/1983;5/3/1983
26;26;3.1886823899371069182389937107;6.780001;4/6/1983;5/2/1983
27;27;3.7696280991735537190082644626;7.1;4/5/1983;5/2/1983
28;28;3.7230142566191446028513238291;7.22;4/5/1983;5/3/1983
29;29;3.3463855421686746987951807229;7.23;4/5/1983;5/4/1983
30;30;2.9802009900990099009900990098;7.240001;4/2/1983;5/2/1983
31;31;4.0996112308484073746021732399;7.740001;4/1/1983;5/2/1983
32;32;4.0905606936416184971098265896;7.86;4/1/1983;5/3/1983
