	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
1957	0	1.34375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1958	0	0	0	0	0	0	0	0	0	1.906976744	1.671981777	2.608	2.031372549	1.729613734	1.431578947	1.144628099	0	0	2.750877193	2.413793103	3.435520362	3.155902004	2.720394737	2.298056156	1.938596491	1.720689655	1.510169492	1.423333333	1.306557377	1.790322581	1.629630159	2.240849711	1.953846154	1.782828788	1.616915846	1.573529412	1.41545942	1.261904286	1.169014085	1.023148611	0	0	0	1.135964653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1959	2.191489362	2.210526316	3.016949153	1.971428571	5.029937108	5.494181382	4.318181818	3.514704412	2.757143204	4.5	4.92244898	4.488	4.266666667	3.669230769	3.094339623	2.540740741	2.916367273	3.457142857	11.46056475	12.74038462	19.97143807	21.40566038	19.1682243	16.97222868	14.81652752	12.7	10.62163514	9.35207824	12.01769912	10	9.198736605	9.930009856	9.145496536	8.376523153	9.377359665	10.1744186	9.766844757	9.021257292	8.289765795	7.571946095	6.867434521	6.175847458	7.228829411	7.222609416	7.680412371	7.124486343	6.53563648	6.309055118	5.895291562	5.732472818	6.139359699	5.977732192	5.500292863	4.995481928	5.296748981	5.111227232	4.81085044	5.396249166	5.849737477	5.708333333
1960	0	0	0	0	0	0	0	0	0	2.291666667	3.085714286	2.488	3.050980392	2.476923077	1.957894737	1.97107438	1.69979716	1.418326693	1.362035225	1.115384615	1.345283019	1.140740741	0	2.103671706	1.833333333	1.617241379	1.662711864	1.473333333	1.273772131	1.112904839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.710059772	1.588972431	1.606937905	1.53877529	1.435837772	1.442938325	1.343331344	1.234192037	1.474904817	1.366693137	1.634920635	1.538520309	1.488525777	1.483515385
1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.043859268	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06731588	0	0
1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1963	0	1.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1966	0	0	0	0	1.76146741	1.991151312	1.58974359	1.190083157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.670909091	1.985716071	1.868421053	1.651724138	1.628813559	1.523333333	1.32295082	1.129032258	0	0	0	1.237374242	1.079601611	0	0	0	0	0	0	1.635135135	2.796982553	2.655059701	2.368852459	2.123377435	1.938294538	1.814535088	1.693643144	1.575509969	1.460049637	1.359138212	1.319653402	1.210774005	1.822395298	1.905269708	1.861676871	1.751682588	1.643965444	1.538461538
